Cell,E,W,N,S
"(33, 3)",0,0,1,1
"(34, 3)",1,1,1,1
"(35, 3)",0,1,1,1
"(36, 3)",1,1,1,1
"(37, 3)",1,1,1,0
"(38, 3)",1,0,0,0
"(39, 3)",1,1,0,1
"(40, 3)",1,1,1,1
"(41, 3)",0,0,1,1
"(42, 3)",0,1,1,1
"(43, 3)",0,1,1,1
"(44, 3)",1,0,1,1
"(45, 3)",0,1,1,0
"(46, 3)",1,1,0,1
"(47, 3)",0,0,1,1
"(48, 3)",1,1,1,0
"(49, 3)",1,0,0,0
"(50, 3)",1,1,0,1
"(51, 3)",1,1,1,0
"(52, 3)",1,1,0,1
"(53, 3)",0,0,1,1
"(54, 3)",1,1,1,1
"(55, 3)",0,0,1,1
"(56, 3)",1,1,1,0
"(57, 3)",1,1,0,0
"(58, 3)",1,1,0,0
"(59, 3)",0,1,0,1
"(60, 3)",1,1,1,1
"(61, 3)",0,0,1,1
"(62, 3)",1,1,1,1
"(63, 3)",0,0,1,1
"(64, 3)",1,1,1,1
"(65, 3)",0,1,1,1
"(66, 3)",1,0,1,0
"(67, 3)",1,0,0,1
"(68, 3)",0,1,1,1
"(69, 3)",1,0,1,0
"(70, 3)",1,1,0,0
"(1, 4)",1,1,0,1
"(2, 4)",0,0,1,1
"(3, 4)",1,1,1,0
"(4, 4)",0,1,0,0
"(5, 4)",0,1,0,1
"(6, 4)",0,0,1,1
"(7, 4)",1,1,1,1
"(8, 4)",1,0,1,0
"(9, 4)",0,1,0,1
"(10, 4)",1,0,1,1
"(11, 4)",1,0,1,1
"(12, 4)",1,1,1,0
"(13, 4)",0,1,0,1
"(14, 4)",0,1,1,0
"(15, 4)",1,1,0,0
"(16, 4)",1,1,0,0
"(17, 4)",0,1,0,1
"(18, 4)",1,0,1,1
"(19, 4)",0,1,1,0
"(20, 4)",1,1,0,1
"(21, 4)",1,0,1,1
"(22, 4)",1,1,1,1
"(23, 4)",0,1,1,1
"(24, 4)",1,0,1,1
"(25, 4)",1,1,1,0
"(26, 4)",1,1,0,0
"(27, 4)",1,1,0,1
"(28, 4)",0,1,1,0
"(29, 4)",1,1,0,1
"(30, 4)",1,1,1,1
"(31, 4)",0,1,1,1
"(32, 4)",0,1,1,1
"(33, 4)",1,0,1,1
"(34, 4)",0,1,1,1
"(35, 4)",1,0,1,1
"(36, 4)",0,1,1,0
"(37, 4)",1,1,0,0
"(38, 4)",1,1,0,1
"(39, 4)",1,1,1,0
"(40, 4)",1,1,0,1
"(41, 4)",0,0,1,1
"(42, 4)",1,0,1,0
"(43, 4)",0,0,0,1
"(44, 4)",1,1,1,1
"(45, 4)",0,0,1,1
"(46, 4)",1,1,1,0
"(47, 4)",1,0,0,1
"(48, 4)",1,1,1,1
"(49, 4)",0,1,1,1
"(50, 4)",1,1,1,0
"(51, 4)",1,1,0,1
"(52, 4)",0,1,1,1
"(53, 4)",1,0,1,1
"(54, 4)",1,1,1,0
"(55, 4)",1,0,0,1
"(56, 4)",1,1,1,0
"(57, 4)",1,1,0,1
"(58, 4)",0,1,1,1
"(59, 4)",1,0,1,0
"(60, 4)",1,1,0,1
"(61, 4)",0,0,1,1
"(62, 4)",0,1,1,1
"(63, 4)",1,0,1,1
"(64, 4)",0,1,1,1
"(65, 4)",1,0,1,1
"(66, 4)",0,1,1,1
"(67, 4)",0,1,1,1
"(68, 4)",1,0,1,0
"(69, 4)",1,1,0,0
"(70, 4)",1,1,0,0
"(1, 5)",1,1,0,0
"(2, 5)",0,0,0,1
"(3, 5)",1,1,1,1
"(4, 5)",1,0,1,0
"(5, 5)",1,0,0,1
"(6, 5)",1,0,1,0
"(7, 5)",1,1,0,0
"(8, 5)",1,1,0,1
"(9, 5)",0,0,1,1
"(10, 5)",0,1,1,0
"(11, 5)",1,1,0,0
"(12, 5)",0,1,0,1
"(13, 5)",1,0,1,0
"(14, 5)",1,0,0,1
"(15, 5)",1,1,1,1
"(16, 5)",0,1,1,1
"(17, 5)",1,0,1,1
"(18, 5)",0,1,1,1
"(19, 5)",1,0,1,1
"(20, 5)",1,1,1,0
"(21, 5)",1,1,0,0
"(22, 5)",1,1,0,1
"(23, 5)",1,0,1,1
"(24, 5)",0,1,1,0
"(25, 5)",1,1,0,1
"(26, 5)",1,1,1,1
"(27, 5)",0,1,1,1
"(28, 5)",1,0,1,1
"(29, 5)",0,1,1,0
"(30, 5)",0,1,0,1
"(31, 5)",1,0,1,1
"(32, 5)",1,0,1,0
"(33, 5)",1,1,0,0
"(34, 5)",1,0,0,0
"(35, 5)",1,1,0,0
"(36, 5)",1,0,0,1
"(37, 5)",0,1,1,0
"(38, 5)",1,1,0,0
"(39, 5)",0,1,0,1
"(40, 5)",1,1,1,1
"(41, 5)",0,0,1,1
"(42, 5)",0,1,1,0
"(43, 5)",1,0,0,1
"(44, 5)",0,1,1,1
"(45, 5)",1,0,1,0
"(46, 5)",1,1,0,1
"(47, 5)",1,1,1,0
"(48, 5)",1,1,0,1
"(49, 5)",0,0,1,1
"(50, 5)",1,1,1,1
"(51, 5)",1,1,1,0
"(52, 5)",1,0,0,1
"(53, 5)",1,1,1,0
"(54, 5)",0,1,0,1
"(55, 5)",1,1,1,0
"(56, 5)",1,1,0,1
"(57, 5)",1,1,1,0
"(58, 5)",1,0,0,1
"(59, 5)",0,1,1,1
"(60, 5)",1,1,1,0
"(61, 5)",1,0,0,1
"(62, 5)",1,0,1,1
"(63, 5)",0,1,1,0
"(64, 5)",1,0,0,1
"(65, 5)",1,1,1,1
"(66, 5)",0,0,1,1
"(67, 5)",1,0,1,0
"(68, 5)",1,1,0,0
"(69, 5)",1,1,0,1
"(70, 5)",1,1,1,0
"(1, 6)",1,1,0,1
"(2, 6)",0,0,1,1
"(3, 6)",1,1,1,0
"(4, 6)",0,1,0,1
"(5, 6)",0,1,1,0
"(6, 6)",1,1,0,1
"(7, 6)",0,1,1,0
"(8, 6)",0,1,0,1
"(9, 6)",1,0,1,1
"(10, 6)",1,0,1,1
"(11, 6)",0,1,1,1
"(12, 6)",1,0,1,1
"(13, 6)",0,1,1,1
"(14, 6)",1,1,1,0
"(15, 6)",1,1,0,0
"(16, 6)",1,0,0,1
"(17, 6)",0,1,1,1
"(18, 6)",0,0,1,1
"(19, 6)",1,1,1,0
"(20, 6)",0,1,0,1
"(21, 6)",1,1,1,1
"(22, 6)",0,1,1,0
"(23, 6)",0,1,0,1
"(24, 6)",1,0,1,1
"(25, 6)",1,1,1,0
"(26, 6)",0,1,0,1
"(27, 6)",1,0,1,1
"(28, 6)",1,1,1,1
"(29, 6)",1,0,1,1
"(30, 6)",0,0,1,1
"(31, 6)",1,1,1,0
"(32, 6)",1,1,0,0
"(33, 6)",1,1,0,0
"(34, 6)",1,1,0,1
"(35, 6)",0,1,1,1
"(36, 6)",1,1,1,0
"(37, 6)",1,0,0,1
"(38, 6)",1,1,1,1
"(39, 6)",0,0,1,1
"(40, 6)",1,1,1,0
"(41, 6)",1,0,0,1
"(42, 6)",1,0,1,1
"(43, 6)",1,1,1,1
"(44, 6)",1,0,1,1
"(45, 6)",1,1,1,1
"(46, 6)",1,1,1,0
"(47, 6)",0,1,0,1
"(48, 6)",1,1,1,1
"(49, 6)",1,0,1,1
"(50, 6)",1,1,1,0
"(51, 6)",1,1,0,1
"(52, 6)",0,1,1,0
"(53, 6)",1,1,0,1
"(54, 6)",1,0,1,1
"(55, 6)",1,1,1,1
"(56, 6)",0,1,1,0
"(57, 6)",1,1,0,0
"(58, 6)",0,1,0,1
"(59, 6)",1,0,1,1
"(60, 6)",1,1,1,0
"(61, 6)",1,1,0,0
"(62, 6)",0,1,0,1
"(63, 6)",1,0,1,1
"(64, 6)",1,1,1,0
"(65, 6)",1,1,0,0
"(66, 6)",0,0,0,1
"(67, 6)",0,1,1,1
"(68, 6)",1,1,1,1
"(69, 6)",1,1,1,0
"(70, 6)",1,1,0,0
"(1, 7)",1,1,0,1
"(2, 7)",0,0,1,1
"(3, 7)",1,1,1,1
"(4, 7)",0,0,1,1
"(5, 7)",0,0,1,1
"(6, 7)",1,1,1,1
"(7, 7)",1,0,1,0
"(8, 7)",1,0,0,1
"(9, 7)",1,1,1,0
"(10, 7)",1,1,0,1
"(11, 7)",1,0,1,1
"(12, 7)",0,1,1,0
"(13, 7)",0,0,0,1
"(14, 7)",1,1,1,1
"(15, 7)",0,1,1,1
"(16, 7)",0,1,1,1
"(17, 7)",1,0,1,0
"(18, 7)",1,0,0,1
"(19, 7)",0,1,1,0
"(20, 7)",1,0,0,1
"(21, 7)",0,1,1,0
"(22, 7)",1,0,0,1
"(23, 7)",0,0,1,1
"(24, 7)",1,1,1,0
"(25, 7)",0,1,0,1
"(26, 7)",1,0,1,0
"(27, 7)",1,1,0,0
"(28, 7)",1,1,0,0
"(29, 7)",0,1,0,1
"(30, 7)",1,0,1,1
"(31, 7)",0,1,1,1
"(32, 7)",0,1,1,1
"(33, 7)",1,1,1,1
"(34, 7)",1,1,1,1
"(35, 7)",0,0,1,1
"(36, 7)",0,1,1,1
"(37, 7)",1,1,1,0
"(38, 7)",1,1,0,1
"(39, 7)",0,0,1,1
"(40, 7)",1,1,1,1
"(41, 7)",0,1,1,0
"(42, 7)",1,1,0,0
"(43, 7)",1,1,0,0
"(44, 7)",1,1,0,0
"(45, 7)",1,1,0,0
"(46, 7)",1,1,0,0
"(47, 7)",1,0,0,1
"(48, 7)",1,1,1,0
"(49, 7)",0,1,0,0
"(50, 7)",1,1,0,0
"(51, 7)",0,1,0,1
"(52, 7)",1,0,1,0
"(53, 7)",0,1,0,0
"(54, 7)",1,1,0,0
"(55, 7)",1,1,0,1
"(56, 7)",1,0,1,1
"(57, 7)",0,1,1,1
"(58, 7)",1,0,1,0
"(59, 7)",1,1,0,0
"(60, 7)",1,1,0,0
"(61, 7)",0,1,0,1
"(62, 7)",1,0,1,0
"(63, 7)",1,1,0,0
"(64, 7)",1,1,0,1
"(65, 7)",1,1,1,1
"(66, 7)",1,0,1,0
"(67, 7)",0,0,0,1
"(68, 7)",1,1,1,0
"(69, 7)",1,1,0,1
"(70, 7)",0,1,1,0
"(1, 8)",1,1,0,0
"(2, 8)",1,0,0,1
"(3, 8)",1,1,1,0
"(4, 8)",1,0,0,1
"(5, 8)",0,0,1,1
"(6, 8)",1,1,1,0
"(7, 8)",0,1,0,1
"(8, 8)",1,1,1,0
"(9, 8)",0,1,0,1
"(10, 8)",1,1,1,0
"(11, 8)",1,1,0,0
"(12, 8)",0,0,0,1
"(13, 8)",1,0,1,1
"(14, 8)",0,1,1,1
"(15, 8)",1,0,1,0
"(16, 8)",1,0,0,0
"(17, 8)",1,1,0,0
"(18, 8)",0,1,0,1
"(19, 8)",1,0,1,0
"(20, 8)",1,1,0,1
"(21, 8)",1,0,1,1
"(22, 8)",0,1,1,0
"(23, 8)",1,0,0,1
"(24, 8)",0,1,1,1
"(25, 8)",0,0,1,1
"(26, 8)",1,1,1,0
"(27, 8)",1,1,0,1
"(28, 8)",0,1,1,1
"(29, 8)",1,0,1,0
"(30, 8)",0,1,0,1
"(31, 8)",1,0,1,1
"(32, 8)",1,0,1,1
"(33, 8)",0,1,1,0
"(34, 8)",1,1,0,1
"(35, 8)",1,0,1,1
"(36, 8)",1,0,1,0
"(37, 8)",1,1,0,1
"(38, 8)",0,1,1,0
"(39, 8)",1,0,0,1
"(40, 8)",0,1,1,1
"(41, 8)",1,0,1,0
"(42, 8)",0,1,0,1
"(43, 8)",1,1,1,0
"(44, 8)",1,1,0,0
"(45, 8)",1,1,0,1
"(46, 8)",1,1,1,0
"(47, 8)",1,1,0,0
"(48, 8)",1,1,0,1
"(49, 8)",1,0,1,1
"(50, 8)",0,1,1,1
"(51, 8)",1,0,1,1
"(52, 8)",1,1,1,0
"(53, 8)",1,0,0,1
"(54, 8)",0,1,1,1
"(55, 8)",0,1,1,0
"(56, 8)",0,1,0,1
"(57, 8)",1,0,1,0
"(58, 8)",1,1,0,1
"(59, 8)",1,1,1,1
"(60, 8)",1,1,1,1
"(61, 8)",0,0,1,1
"(62, 8)",1,1,1,0
"(63, 8)",0,1,0,1
"(64, 8)",1,1,1,0
"(65, 8)",1,1,0,0
"(66, 8)",1,1,0,0
"(67, 8)",1,0,0,1
"(68, 8)",1,1,1,0
"(69, 8)",0,1,0,1
"(70, 8)",1,0,1,0
"(1, 9)",1,1,0,1
"(2, 9)",1,1,1,0
"(3, 9)",1,1,0,1
"(4, 9)",0,1,1,1
"(5, 9)",1,0,1,0
"(6, 9)",1,1,0,1
"(7, 9)",1,0,1,0
"(8, 9)",1,1,0,1
"(9, 9)",0,0,1,1
"(10, 9)",1,1,1,0
"(11, 9)",1,1,0,1
"(12, 9)",0,0,1,1
"(13, 9)",0,1,1,1
"(14, 9)",1,0,1,0
"(15, 9)",1,1,0,0
"(16, 9)",1,1,0,0
"(17, 9)",1,1,0,1
"(18, 9)",1,0,1,1
"(19, 9)",0,1,1,0
"(20, 9)",1,1,0,0
"(21, 9)",0,1,0,1
"(22, 9)",1,0,1,0
"(23, 9)",1,1,0,0
"(24, 9)",0,0,0,1
"(25, 9)",1,0,1,1
"(26, 9)",0,1,1,1
"(27, 9)",1,1,1,1
"(28, 9)",0,0,1,0
"(29, 9)",0,1,0,1
"(30, 9)",1,0,1,1
"(31, 9)",0,1,1,0
"(32, 9)",1,1,0,1
"(33, 9)",0,0,1,1
"(34, 9)",0,1,1,0
"(35, 9)",1,1,0,0
"(36, 9)",1,1,0,1
"(37, 9)",0,1,1,1
"(38, 9)",0,0,1,1
"(39, 9)",1,1,1,1
"(40, 9)",0,0,1,1
"(41, 9)",0,1,1,1
"(42, 9)",0,0,1,1
"(43, 9)",1,1,1,0
"(44, 9)",0,1,0,1
"(45, 9)",1,1,1,0
"(46, 9)",0,1,0,1
"(47, 9)",0,1,1,1
"(48, 9)",1,1,1,0
"(49, 9)",0,1,0,1
"(50, 9)",1,0,1,1
"(51, 9)",0,1,1,0
"(52, 9)",1,1,0,1
"(53, 9)",0,1,1,1
"(54, 9)",0,0,1,0
"(55, 9)",1,0,0,1
"(56, 9)",0,0,1,1
"(57, 9)",1,1,1,0
"(58, 9)",1,1,0,0
"(59, 9)",1,1,0,0
"(60, 9)",1,1,0,1
"(61, 9)",1,0,1,1
"(62, 9)",1,1,1,0
"(63, 9)",1,0,0,0
"(64, 9)",1,1,0,1
"(65, 9)",1,1,1,0
"(66, 9)",0,1,0,1
"(67, 9)",0,1,1,0
"(68, 9)",1,1,0,1
"(69, 9)",0,0,1,1
"(70, 9)",1,1,1,0
"(1, 10)",1,1,0,0
"(2, 10)",1,1,0,1
"(3, 10)",0,1,1,1
"(4, 10)",1,0,1,1
"(5, 10)",1,1,1,1
"(6, 10)",0,1,1,0
"(7, 10)",0,1,0,1
"(8, 10)",1,1,1,0
"(9, 10)",1,0,0,1
"(10, 10)",1,1,1,1
"(11, 10)",0,1,1,1
"(12, 10)",0,0,1,0
"(13, 10)",1,0,0,1
"(14, 10)",0,1,1,1
"(15, 10)",1,1,1,0
"(16, 10)",1,1,0,1
"(17, 10)",0,1,1,0
"(18, 10)",1,1,0,1
"(19, 10)",1,0,1,1
"(20, 10)",0,1,1,1
"(21, 10)",1,0,1,1
"(22, 10)",1,1,1,1
"(23, 10)",0,1,1,1
"(24, 10)",1,0,1,1
"(25, 10)",1,1,1,1
"(26, 10)",1,0,1,0
"(27, 10)",1,1,0,0
"(28, 10)",1,0,0,1
"(29, 10)",0,0,1,1
"(30, 10)",0,1,1,1
"(31, 10)",1,0,1,1
"(32, 10)",0,1,1,1
"(33, 10)",1,0,1,1
"(34, 10)",0,0,1,1
"(35, 10)",0,1,1,1
"(36, 10)",1,1,1,0
"(37, 10)",0,0,0,1
"(38, 10)",1,0,1,1
"(39, 10)",1,1,1,1
"(40, 10)",0,0,1,0
"(41, 10)",1,0,0,1
"(42, 10)",1,0,1,0
"(43, 10)",1,1,0,0
"(44, 10)",1,0,0,1
"(45, 10)",1,1,1,0
"(46, 10)",1,0,0,1
"(47, 10)",1,0,1,0
"(48, 10)",0,1,0,1
"(49, 10)",1,0,1,1
"(50, 10)",0,1,1,1
"(51, 10)",1,0,1,1
"(52, 10)",1,1,1,1
"(53, 10)",0,0,1,0
"(54, 10)",1,0,0,1
"(55, 10)",0,1,1,0
"(56, 10)",1,0,0,1
"(57, 10)",1,1,1,0
"(58, 10)",1,1,0,1
"(59, 10)",1,1,1,1
"(60, 10)",1,1,1,0
"(61, 10)",1,1,0,0
"(62, 10)",1,1,0,0
"(63, 10)",1,1,0,1
"(64, 10)",1,1,1,0
"(65, 10)",0,1,0,1
"(66, 10)",1,0,1,0
"(67, 10)",1,0,0,1
"(68, 10)",0,1,1,1
"(69, 10)",0,0,1,1
"(70, 10)",1,1,1,0
"(1, 11)",1,1,0,1
"(2, 11)",0,1,1,0
"(3, 11)",1,0,0,1
"(4, 11)",0,1,1,0
"(5, 11)",1,1,0,1
"(6, 11)",0,0,1,1
"(7, 11)",0,0,1,1
"(8, 11)",0,1,1,1
"(9, 11)",1,1,1,0
"(10, 11)",1,1,0,1
"(11, 11)",0,0,1,1
"(12, 11)",1,0,1,1
"(13, 11)",0,1,1,0
"(14, 11)",1,0,0,1
"(15, 11)",0,1,1,1
"(16, 11)",1,1,1,1
"(17, 11)",1,0,1,0
"(18, 11)",1,1,0,0
"(19, 11)",1,1,0,1
"(20, 11)",0,0,1,0
"(21, 11)",1,1,0,0
"(22, 11)",1,1,0,1
"(23, 11)",0,0,1,1
"(24, 11)",1,1,1,0
"(25, 11)",0,1,0,0
"(26, 11)",1,1,0,1
"(27, 11)",1,1,1,0
"(28, 11)",1,1,0,1
"(29, 11)",1,0,1,1
"(30, 11)",0,0,1,1
"(31, 11)",1,1,1,1
"(32, 11)",1,0,1,0
"(33, 11)",1,1,0,1
"(34, 11)",0,0,1,1
"(35, 11)",1,0,1,1
"(36, 11)",0,1,1,0
"(37, 11)",1,0,0,1
"(38, 11)",1,1,1,0
"(39, 11)",1,1,0,1
"(40, 11)",1,0,1,1
"(41, 11)",0,1,1,0
"(42, 11)",0,1,0,1
"(43, 11)",1,1,1,0
"(44, 11)",1,1,0,0
"(45, 11)",1,1,0,1
"(46, 11)",0,1,1,0
"(47, 11)",1,1,0,0
"(48, 11)",1,0,0,1
"(49, 11)",1,1,1,0
"(50, 11)",0,0,0,1
"(51, 11)",1,1,1,0
"(52, 11)",1,1,0,1
"(53, 11)",1,0,1,1
"(54, 11)",0,1,1,0
"(55, 11)",1,0,0,1
"(56, 11)",1,1,1,0
"(57, 11)",0,1,0,1
"(58, 11)",1,1,1,0
"(59, 11)",1,1,0,0
"(60, 11)",1,1,0,1
"(61, 11)",1,1,1,0
"(62, 11)",1,1,0,1
"(63, 11)",0,1,1,0
"(64, 11)",0,1,0,1
"(65, 11)",1,0,1,1
"(66, 11)",1,1,1,0
"(67, 11)",1,1,0,1
"(68, 11)",1,0,1,1
"(69, 11)",0,0,1,1
"(70, 11)",1,1,1,0
"(1, 12)",1,1,0,0
"(2, 12)",1,0,0,1
"(3, 12)",0,1,1,0
"(4, 12)",1,0,0,1
"(5, 12)",0,1,1,1
"(6, 12)",1,0,1,1
"(7, 12)",0,0,1,1
"(8, 12)",1,0,1,0
"(9, 12)",1,1,0,1
"(10, 12)",0,1,1,1
"(11, 12)",1,0,1,1
"(12, 12)",0,1,1,1
"(13, 12)",1,0,1,1
"(14, 12)",0,1,1,1
"(15, 12)",1,0,1,1
"(16, 12)",1,1,1,0
"(17, 12)",1,1,0,0
"(18, 12)",1,1,0,0
"(19, 12)",0,1,0,1
"(20, 12)",1,0,1,1
"(21, 12)",1,1,1,1
"(22, 12)",0,1,1,1
"(23, 12)",0,0,1,1
"(24, 12)",1,1,1,1
"(25, 12)",1,0,1,0
"(26, 12)",0,1,0,0
"(27, 12)",1,1,0,1
"(28, 12)",0,1,1,0
"(29, 12)",1,1,0,1
"(30, 12)",0,0,1,1
"(31, 12)",1,1,1,0
"(32, 12)",1,1,0,0
"(33, 12)",0,1,0,1
"(34, 12)",1,0,1,1
"(35, 12)",0,1,1,1
"(36, 12)",0,0,1,1
"(37, 12)",1,1,1,0
"(38, 12)",1,1,0,1
"(39, 12)",0,1,1,0
"(40, 12)",1,1,0,0
"(41, 12)",1,0,0,1
"(42, 12)",0,0,1,1
"(43, 12)",0,1,1,1
"(44, 12)",1,1,1,1
"(45, 12)",1,1,1,1
"(46, 12)",1,0,1,0
"(47, 12)",1,1,0,1
"(48, 12)",0,1,1,0
"(49, 12)",1,1,0,1
"(50, 12)",0,0,1,1
"(51, 12)",0,1,1,1
"(52, 12)",0,1,1,0
"(53, 12)",0,1,0,1
"(54, 12)",1,0,1,1
"(55, 12)",1,1,1,0
"(56, 12)",1,1,0,1
"(57, 12)",0,0,1,1
"(58, 12)",1,1,1,1
"(59, 12)",0,1,1,1
"(60, 12)",1,1,1,0
"(61, 12)",1,1,0,1
"(62, 12)",1,1,1,0
"(63, 12)",1,0,0,1
"(64, 12)",0,0,1,1
"(65, 12)",0,1,1,0
"(66, 12)",0,1,0,1
"(67, 12)",1,1,1,0
"(68, 12)",0,1,0,1
"(69, 12)",1,0,1,0
"(70, 12)",1,1,0,0
"(1, 13)",1,1,0,1
"(2, 13)",1,1,1,0
"(3, 13)",1,0,0,0
"(4, 13)",1,1,0,1
"(5, 13)",1,0,1,0
"(6, 13)",1,1,0,0
"(7, 13)",1,0,0,1
"(8, 13)",0,1,1,1
"(9, 13)",1,1,1,0
"(10, 13)",1,0,0,1
"(11, 13)",0,1,1,1
"(12, 13)",0,0,1,1
"(13, 13)",1,1,1,1
"(14, 13)",0,0,1,1
"(15, 13)",1,1,1,0
"(16, 13)",1,1,0,0
"(17, 13)",1,1,0,0
"(18, 13)",1,1,0,1
"(19, 13)",0,0,1,1
"(20, 13)",0,1,1,0
"(21, 13)",1,1,0,1
"(22, 13)",0,0,1,1
"(23, 13)",0,0,1,1
"(24, 13)",1,1,1,0
"(25, 13)",1,1,0,0
"(26, 13)",1,0,0,1
"(27, 13)",0,1,1,1
"(28, 13)",1,0,1,0
"(29, 13)",1,1,0,1
"(30, 13)",0,0,1,1
"(31, 13)",1,1,1,1
"(32, 13)",1,1,1,0
"(33, 13)",1,0,0,1
